Dates,ACTUAL (mm) 
"Jan-2016",0
"Feb-2016",0
"Mar-2016",2
"Apr-2016",0
"May-2016",4
"Jun-2016",0
"Jul-2016",0
"Aug-2016",3.6
"Sep-2016",3
"Oct-2016",0
"Nov-2016",0
"Dec-2016",0
"Jan-2017",0
"Feb-2017",0
"Mar-2017",0
"Apr-2017",0
"May-2017",0
"Jun-2017",0
"Jul-2017",7
"Aug-2017",10.6
"Sep-2017",0.4
"Oct-2017",2
"Nov-2017",0
"Dec-2017",50
"Jan-2018",0
"Feb-2018",0
"Mar-2018",0
"Apr-2018",0
"May-2018",0
"Jun-2018",0
"Jul-2018",22.4
"Aug-2018",1
"Sep-2018",0
"Oct-2018",0
"Nov-2018",0
"Dec-2018",0
"Jan-2019",0
"Feb-2019",0
"Mar-2019",0
"Apr-2019",0
"May-2019",0
"Jun-2019",0
"Jul-2019",1111.4
"Aug-2019",1885.4
"Sep-2019",515.3
"Oct-2019",61.2
"Nov-2019",15
"Dec-2019",0
"Jun-2020",64.2
"Jul-2020",245
"Aug-2020",1152
"Sep-2020",178.6
"Oct-2020",69.4
"Nov-2020",0
"Dec-2020",0
"Apr-2021",26
"Jun-2021",186.8
"Jul-2021",277.4
"Aug-2021",174.6
"Sep-2021",430.8
"Oct-2021",2.6
"Dec-2021",58
"Jan-2022",0
